2.0001786,-0.004813428,-1.0180798,85.0,
2.020274,-0.0036708193,-0.95321804,94.0,
2.0387561,-0.0047125905,-0.9054821,97.0,
-3.0825212,-0.0047125905,-0.9054821,49.0,
-3.0809095,-0.003998645,-0.90658635,48.0,
-3.0458922,-0.0042775073,-0.92970496,98.0,
3.0991511,-0.0042775073,-0.92970496,52.0,
-3.062932,-0.0032849046,-1.006048,45.0,
-2.8496308,-0.0043109646,-1.1464779,97.0,
2.8905897,-0.0043109646,-1.1464779,57.0,
-2.9556255,-6.2850834E-4,-1.4173954,40.0,
-2.5111628,-0.004346448,-1.7607644,97.0,
2.6435304,-0.004346448,-1.7607644,60.0,
-2.8437228,-0.015214157,-2.1738827,43.0,
2.168753,-0.015214157,-2.1738827,156.0,
-2.9962904,0.045089487,-2.8641036,52.0,
2.5022402,0.045089487,-2.8641036,147.0,
2.969572,0.01270684,-3.1204593,58.0,
2.9111059,0.01270684,-3.1204593,141.0,
2.9464781,0.012274514,-3.1352837,64.0,
2.9588354,0.012274514,-3.1352837,135.0,
2.9593031,0.012296559,-3.1354735,74.0,
2.9006906,0.012296559,-3.1354735,126.0,
2.9017155,0.012619654,-3.1358025,75.0,
